pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
FF,2017-06-19,92.8,-0.7273,5.9224,Jesse Winker,608385,543606,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,TB,CIN,B,NA,NA,0,0,2017,-1.18,1.2627,-0.8064,4.102,NA,594807,553993,2,6,Top,NA,NA,NA,NA,519083,NA,170620_005756,2.2414,-134.5009,-1.4227,-14.3534,32.0319,-17.3298,3.3295,1.5522,NA,NA,NA,90.812,2355,5.516,491146,543606,519083,489149,605227,446334,621002,572816,605480,519306,54.9839,0,0,NA,NA,NA,NA,NA,47,1,NA
FF,2017-06-19,92.2,-0.8001,5.9792,Jesse Winker,608385,543606,field_out,hit_into_play,NA,NA,NA,NA,2,Jesse Winker flies out to left fielder Corey Dickerson.,R,L,R,TB,CIN,X,7,fly_ball,2,0,2017,-1.0892,1.3489,-0.1569,3.3768,NA,NA,NA,0,5,Top,82.5,93.19,NA,NA,519083,NA,170620_003040,3.8434,-133.6659,-3.4861,-13.5058,30.7566,-16.0165,3.6021,1.4104,272,88.8,49.299,90.342,2288,5.506,491146,543606,519083,489149,605227,446334,621002,572816,605480,519306,54.9934,0.006,0.007,0,1,0,0,3,34,3,0
FS,2017-06-19,83.7,-0.879,6.065,Jesse Winker,608385,543606,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,TB,CIN,B,NA,NA,1,0,2017,-1.2823,0.988,-1.417,4.5925,NA,NA,NA,0,5,Top,NA,NA,NA,NA,519083,NA,170620_003012,1.1179,-121.2611,1.2095,-12.2691,25.3021,-23.4536,3.2269,1.5331,NA,NA,NA,81.276,1225,5.032,491146,543606,519083,489149,605227,446334,621002,572816,605480,519306,55.468,0,0,NA,NA,NA,NA,NA,34,2,NA
FF,2017-06-19,91.2,-0.6784,5.9704,Jesse Winker,608385,543606,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,TB,CIN,B,NA,NA,0,0,2017,-1.0223,1.4074,-0.1971,3.6596,NA,NA,NA,0,5,Top,NA,NA,NA,NA,519083,NA,170620_002958,3.2745,-132.2985,-2.7535,-12.3802,29.3593,-15.7841,3.3637,1.516,NA,NA,NA,89.618,2295,5.569,491146,543606,519083,489149,605227,446334,621002,572816,605480,519306,54.9308,0,0,NA,NA,NA,NA,NA,34,1,NA
FF,2017-06-19,91.1,-0.5395,6.1278,Jesse Winker,608385,543606,field_out,hit_into_play,NA,NA,NA,NA,2,Jesse Winker flies out to left fielder Corey Dickerson.,R,L,R,TB,CIN,X,7,fly_ball,0,0,2017,-0.979,1.5863,-0.0691,3.2538,NA,594988,NA,2,2,Top,56.67,111.99,NA,NA,519083,NA,170619_233118,3.1583,-132.1604,-4.5003,-11.8399,29.0468,-13.3881,3.7738,1.4985,264,79.6,36.332,89.563,2172,5.574,491146,543606,519083,489149,621002,446334,542921,572816,605480,519306,54.9253,0.022,0.026,0,1,0,0,3,11,1,0
CH,2017-07-07,86.8,-1.2751,6.4467,Jesse Winker,608385,425844,strikeout,swinging_strike,NA,NA,NA,NA,14,Jesse Winker strikes out swinging.,R,L,R,ARI,CIN,S,NA,NA,2,2,2017,-1.2902,0.2067,0.1638,0.6805,NA,NA,NA,0,6,Top,NA,NA,NA,NA,425772,NA,170708_032100,5.951,-126.1201,-8.0625,-14.6941,20.1905,-28.8709,3.3827,1.5442,NA,NA,NA,86.726,1919,5.85,491393,425844,425772,502671,592273,571875,572008,453923,572041,444482,54.6496,0,0,0,1,0,0,NA,41,5,NA
FF,2017-07-07,91.1,-1.31,6.3866,Jesse Winker,608385,425844,NA,ball,NA,NA,NA,NA,13,NA,R,L,R,ARI,CIN,B,NA,NA,1,2,2017,-0.3023,1.2855,-0.0642,0.903,NA,NA,NA,0,6,Top,NA,NA,NA,NA,425772,NA,170708_032042,3.7506,-132.2318,-10.6255,-4.2294,23.1966,-15.3073,3.3496,1.5552,NA,NA,NA,91.345,2463,6.176,491393,425844,425772,502671,592273,571875,572008,453923,572041,444482,54.3235,0,0,NA,NA,NA,NA,NA,41,4,NA
CU,2017-07-07,73.2,-1.1107,6.4344,Jesse Winker,608385,425844,NA,called_strike,NA,NA,NA,NA,4,NA,R,L,R,ARI,CIN,S,NA,NA,1,1,2017,1.1563,-0.8623,-0.8183,2.532,NA,NA,NA,0,6,Top,NA,NA,NA,NA,425772,NA,170708_032023,-1.2703,-106.2995,0.8537,8.6202,18.345,-38.8652,3.3716,1.4779,NA,NA,NA,71.529,2562,5.126,491393,425844,425772,502671,592273,571875,572008,453923,572041,444482,55.3736,0,0,NA,NA,NA,NA,NA,41,3,NA
CH,2017-07-07,85.9,-1.3205,6.349,Jesse Winker,608385,425844,NA,swinging_strike,NA,NA,NA,NA,7,NA,R,L,R,ARI,CIN,S,NA,NA,1,0,2017,-1.2045,0.1061,-0.4728,1.5874,NA,NA,NA,0,6,Top,NA,NA,NA,NA,425772,NA,170708_032004,4.3144,-124.8187,-5.2553,-13.1865,21.2855,-30.3908,3.4268,1.4559,NA,NA,NA,85.411,1817,5.709,491393,425844,425772,502671,592273,571875,572008,453923,572041,444482,54.7905,0,0,NA,NA,NA,NA,NA,41,2,NA
CU,2017-07-07,71.9,-1.1073,6.3971,Jesse Winker,608385,425844,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,ARI,CIN,B,NA,NA,0,0,2017,1.3539,-0.8723,-1.0658,3.321,NA,NA,NA,0,6,Top,NA,NA,NA,NA,425772,NA,170708_031948,-2.0203,-104.2778,2.7016,9.7575,17.5973,-38.9837,3.3606,1.4448,NA,NA,NA,69.978,2583,4.965,491393,425844,425772,502671,592273,571875,572008,453923,572041,444482,55.5345,0,0,NA,NA,NA,NA,NA,41,1,NA
