pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
CU,2017-04-15,78,-2.2858,5.7624,Anthony Rizzo,519203,607192,hit_by_pitch,hit_by_pitch,NA,NA,NA,NA,14,Anthony Rizzo hit by pitch.,R,L,R,CHC,PIT,B,NA,NA,1,0,2017,0.8471,-0.4712,1.4435,1.998,NA,NA,NA,0,5,Bot,NA,NA,NA,NA,465041,NA,170415_200004,6.4664,-113.2436,-0.2174,5.8636,23.8997,-36.3902,3.865,1.601,NA,NA,NA,77.645,2487,6.452,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,54.0041,0,0,0.7,1,0,0,NA,40,2,NA
FF,2017-04-15,93.4,-2.2935,5.6498,Anthony Rizzo,519203,607192,NA,ball,NA,NA,NA,NA,13,NA,R,L,R,CHC,PIT,B,NA,NA,0,0,2017,-1.1417,1.4885,-0.2456,1.4575,NA,NA,NA,0,5,Bot,NA,NA,NA,NA,465041,NA,170415_195946,8.0582,-135.6187,-8.6492,-16.4001,27.494,-11.31,3.362,1.602,NA,NA,NA,95.586,2260,7.527,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,53.0087,0,0,NA,NA,NA,NA,NA,40,1,NA
FF,2017-04-15,93.5,-1.9689,5.6871,Kris Bryant,592178,607192,field_out,hit_into_play,NA,NA,NA,NA,8,"Kris Bryant grounds out, second baseman Alen Hanson to first baseman Josh Bell.",R,R,R,CHC,PIT,X,4,ground_ball,0,1,2017,-0.8627,1.3288,0.1429,1.8122,NA,NA,NA,2,4,Bot,115.68,145.69,NA,NA,465041,NA,170415_194958,7.6234,-135.9503,-7.536,-12.8002,26.9266,-13.423400000000001,3.95,1.681,46,100.7,0.433,96.169,2201,7.667,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.8662,0.474,0.441,0,1,0,0,4,36,2,0
CU,2017-04-15,78.2,-2.1038,5.7854,Kris Bryant,592178,607192,NA,foul,NA,NA,NA,NA,8,NA,R,R,R,CHC,PIT,S,NA,NA,0,0,2017,0.4979,-0.8506,-0.0558,2.034,NA,NA,NA,2,4,Bot,NA,NA,NA,NA,465041,NA,170415_194940,3.5307,-113.8518,0.4371,3.7093,22.6882,-39.9912,3.95,1.681,NA,NA,NA,79.086,2593,7.085,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,53.4379,0,0,NA,NA,NA,NA,NA,36,1,NA
CU,2017-04-15,80,-2.1035,5.7919,Kyle Schwarber,656941,607192,strikeout,swinging_strike,NA,NA,NA,NA,14,Kyle Schwarber strikes out swinging.,R,L,R,CHC,PIT,S,NA,NA,2,2,2017,0.7918,-0.5415,0.8397,1.4742,NA,NA,NA,1,4,Bot,NA,NA,NA,NA,465041,NA,170415_194907,5.0451,-116.4203,-1.6747,6.2236,25.7333,-37.0173,3.746,1.535,NA,NA,NA,80.875,2688,7.297,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,53.226,0,0,0,1,0,0,NA,35,5,NA
FT,2017-04-15,95.3,-2.2043,5.6934,Kyle Schwarber,656941,607192,NA,called_strike,NA,NA,NA,NA,8,NA,R,L,R,CHC,PIT,S,NA,NA,2,1,2017,-1.2995,1.2702,-0.1229,1.6024,NA,NA,NA,1,4,Bot,NA,NA,NA,NA,465041,NA,170415_194852,8.7404,-138.3555,-8.2911,-19.443,30.0446,-13.3647,3.0414,1.4856,NA,NA,NA,97.666,2361,7.711,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.8226,0,0,NA,NA,NA,NA,NA,35,4,NA
CH,2017-04-15,87,-2.153,5.6621,Kyle Schwarber,656941,607192,NA,called_strike,NA,NA,NA,NA,11,NA,R,L,R,CHC,PIT,S,NA,NA,2,0,2017,-0.942,0.7805,-0.8346,3.2054,NA,NA,NA,1,4,Bot,NA,NA,NA,NA,465041,NA,170415_194835,5.3107,-126.6766,-1.4273,-11.6871,26.1073,-23.2546,3.059,1.5371,NA,NA,NA,89.146,1727,7.604,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.9085,0,0,NA,NA,NA,NA,NA,35,3,NA
CU,2017-04-15,80.3,-2.1369,5.7977,Kyle Schwarber,656941,607192,NA,ball,NA,NA,NA,NA,14,NA,R,L,R,CHC,PIT,B,NA,NA,1,0,2017,1.0089,-0.3058,1.9643,1.6364,NA,NA,NA,1,4,Bot,NA,NA,NA,NA,465041,NA,170415_194815,7.2335,-116.7548,-1.8682,7.8707,24.8324,-34.8209,2.9238,1.536,NA,NA,NA,81.123,2589,7.199,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,53.3288,0,0,NA,NA,NA,NA,NA,35,2,NA
FF,2017-04-15,94,-2.1594,5.7149,Kyle Schwarber,656941,607192,NA,ball,NA,NA,NA,NA,13,NA,R,L,R,CHC,PIT,B,NA,NA,0,0,2017,-0.9189,1.2931,-0.9407,1.1407,NA,NA,NA,1,4,Bot,NA,NA,NA,NA,465041,NA,170415_194801,5.4298,-136.656,-9.4071,-13.2566,28.0473,-13.2901,3.2765,1.6369,NA,NA,NA,96.538,2306,7.707,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.873,0,0,NA,NA,NA,NA,NA,35,1,NA
CU,2017-04-15,79.2,-2.0531,5.7878,Javier Baez,595879,607192,strikeout,swinging_strike,NA,NA,NA,NA,14,Javier Baez strikes out swinging.,R,R,R,CHC,PIT,S,NA,NA,3,2,2017,1.0804,-0.5015,1.4872,1.1897,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,465041,NA,170415_194726,5.7514,-115.1788,-2.2278,8.5503,24.7074,-36.4349,3.746,1.535,NA,NA,NA,79.881,2636,7.193,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,53.3669,0,0,0,1,0,0,NA,34,7,NA
